AAResourceName,AAName
AA-Main,AA-Main
AA-Main-0893292700,AA-Main
AA-Main-0892569500,AA-Main
AA-Recycling,AA-Recycling
AA-Recycling-Holiday,AA-Recycling-Holiday
AA-Recycling-AH,AA-Recycling-AH
AA-Recycling-Hold,AA-Recycling-Hold
AA-Recycling-VmailMsg,AA-Recycling-VmailMsg
AA-Accounts,AA-Accounts
AA-Accounts-Holiday,AA-Accounts-Holiday
AA-Accounts-AH,AA-Accounts-AH
AA-Accounts-Hold,AA-Accounts-Hold
AA-Accounts-VmailMsg,AA-Accounts-VmailMsg
AA-RRRC-Menu,AA-RRRC-Menu
AA-RRRC,AA-RRRC
AA-RRRC-Holiday,AA-RRRC-Holiday
AA-RRRC-AH,AA-RRRC-AH
AA-RRRC-Hold,AA-RRRC-Hold
AA-RRRCReception-VmailMsg,AA-RRRCReception-VmailMsg
AA-Weighbridge,AA-Weighbridge
AA-Weighbridge-Holiday,AA-Weighbridge-Holiday
AA-Weighbridge-AH,AA-Weighbridge-AH
AA-Weighbridge-Hold,AA-Weighbridge-Hold
AA-Weighbridge-VmailMsg,AA-Weighbridge-VmailMsg
AA-Corporate,AA-Corporate
AA-Corporate-Holiday,AA-Corporate-Holiday
AA-Corporate-AH,AA-Corporate-AH
AA-Corporate-Hold,AA-Corporate-Hold
AA-Corporate-VmailMsg,AA-Corporate-VmailMsg
AA-Tours,AA-Tours
AA-Tours-Holiday,AA-Tours-Holiday
AA-Tours-AH,AA-Tours-AH
AA-Tours-Hold,AA-Tours-Hold
AA-Tours-VmailMsg,AA-Tours-VmailMsg
