Name,RecordType,ZoneName,ResourceGroup,Value,TTL,Preference,Weight,Port
*,A,octfol.io,dns-rg,52.156.163.113,3600,,,
admin,A,octfol.io,dns-rg,52.156.163.113,3600,,,
admin-prod,CNAME,octfol.io,dns-rg,octfolio-production-haproxy.australiaeas,3600,,,
api,A,octfol.io,dns-rg,52.156.163.113,3600,,,
app-api-prod,CNAME,octfol.io,dns-rg,octfolio-production-haproxy.australiaeas,3600,,,
apphost1,A,octfol.io,dns-rg,52.156.163.113,3600,,,
beta,CNAME,octfol.io,dns-rg,octfolio-production-haproxy.australiaeas,3600,,,
bsc,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ccdhb,A,octfol.io,dns-rg,52.156.163.113,3600,,,
chorus,A,octfol.io,dns-rg,52.156.163.113,3600,,,
demo,A,octfol.io,dns-rg,52.156.163.113,3600,,,
eql,A,octfol.io,dns-rg,52.156.163.113,3600,,,
fenz,A,octfol.io,dns-rg,52.156.163.113,3600,,,
gpt,A,octfol.io,dns-rg,52.156.163.113,3600,,,
help,CNAME,octfol.io,dns-rg,octfolio-services.australiaeast.cloudapp,3600,,,
inspector,A,octfol.io,dns-rg,52.156.163.113,3600,,,
inspector-beta,A,octfol.io,dns-rg,52.156.163.113,3600,,,
inspector-lit,A,octfol.io,dns-rg,52.156.163.113,3600,,,
jordan-demo,A,octfol.io,dns-rg,52.156.163.113,3600,,,
local-admin,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local-api,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local-client,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local-inspector,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local-lp,A,octfol.io,dns-rg,127.0.0.1,3600,,,
local.admin,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local.api,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local.client,A,octfol.io,dns-rg,192.168.10.10,3600,,,
local.inspector,A,octfol.io,dns-rg,192.168.10.10,3600,,,
lp,A,octfol.io,dns-rg,52.156.163.113,3600,,,
mrc,A,octfol.io,dns-rg,52.156.163.113,3600,,,
nmdhb,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntcsa,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdagj,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdcis,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdcm,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdenr,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdhcd,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdipl,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdla,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdoe,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdoh,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdotc,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdpir,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntdtbi,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntg,A,octfol.io,dns-rg,52.156.163.113,3600,,,
ntpfes,A,octfol.io,dns-rg,52.156.163.113,3600,,,
nttf,A,octfol.io,dns-rg,52.156.163.113,3600,,,
octief,A,octfol.io,dns-rg,52.156.163.113,3600,,,
odet,A,octfol.io,dns-rg,52.156.163.113,3600,,,
powerlink,A,octfol.io,dns-rg,52.156.163.113,3600,,,
precise,A,octfol.io,dns-rg,52.156.163.113,3600,,,
prod-client-test-01,A,octfol.io,dns-rg,52.156.163.113,3600,,,
prod-client-test-02,A,octfol.io,dns-rg,52.156.163.113,3600,,,
prod-client-test-03,A,octfol.io,dns-rg,52.156.163.113,3600,,,
prod-client-test-04,A,octfol.io,dns-rg,52.156.163.113,3600,,,
prod-client-test-05,A,octfol.io,dns-rg,52.156.163.113,3600,,,
qbuild,A,octfol.io,dns-rg,52.156.163.113,3600,,,
sdhb,A,octfol.io,dns-rg,52.156.163.113,3600,,,
sendfox,CNAME,octfol.io,dns-rg,u14425108.wl109.sendgrid.net.,3600,,,
seqwater,A,octfol.io,dns-rg,52.156.163.113,3600,,,
sf._domainkey,CNAME,octfol.io,dns-rg,sf.domainkey.u14425108.wl109.sendgrid.ne,3600,,,
sf2._domainkey,CNAME,octfol.io,dns-rg,sf2.domainkey.u14425108.wl109.sendgrid.n,3600,,,
south32,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-admin,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-api,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-client,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-inspector,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-inspector-lit,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-inspector2,A,octfol.io,dns-rg,52.156.163.113,3600,,,
staging-lp,A,octfol.io,dns-rg,52.156.163.113,3600,,,
tasdoe,A,octfol.io,dns-rg,52.156.163.113,3600,,,
tasdoh,A,octfol.io,dns-rg,52.156.163.113,3600,,,
tastafe,A,octfol.io,dns-rg,52.156.163.113,3600,,,
testing,A,octfol.io,dns-rg,52.156.163.113,3600,,,
testing2,A,octfol.io,dns-rg,52.156.163.113,3600,,,
testing3,A,octfol.io,dns-rg,52.156.163.113,3600,,,
uoc,A,octfol.io,dns-rg,52.156.163.113,3600,,,
www,A,octfol.io,dns-rg,52.156.163.113,3600,,,
